Code AGB;Code CIQUAL;Groupe d'aliment;Sous-groupe d'aliment;Nom du Produit en Français;LCI Name;DQR;Nom et code;Agriculture;Transformation;Emballage;Transport;Supermarché et distribution;Consommation;Total
20996;20996;aides culinaires et ingrédients divers;algues;Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté;Carragheen mosses (Chondrus crispus), dried or dehydrated;2,99;Lichen de mer ou pioca ou goémon rouge (Chondrus crispus), séché ou déshydraté (20996);4,57;1,49;0,29;0,20;0,02;0,01;6,58
11034;11034;aides culinaires et ingrédients divers;herbes;Marjolaine, séchée;Marjoram, dried;3,75;Marjolaine, séchée (11034);0,88;0,00;0,48;0,18;0,02;0,00;1,55
11054;11054;aides culinaires et ingrédients divers;sauces;Mayonnaise (70% MG min.);Mayonnaise (70% fat and more);2,49;Mayonnaise (70% MG min.) (11054);1,97;0,39;0,24;0,37;0,04;0,01;3,01
11079;11079;aides culinaires et ingrédients divers;sauces;Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée;Mayonnaise, reduced fat or light mayonnaise;2,92;Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée (11079);1,97;0,39;0,24;0,37;0,04;0,01;3,01
51500;51500;aides culinaires et ingrédients divers;herbes;Meloukhia, feuilles de corète séchées, en poudre;Molokhia powder (dried jute leaves);3,75;Meloukhia, feuilles de corète séchées, en poudre (51500);0,83;0,00;0,48;0,18;0,02;0,00;1,50
11027;11027;aides culinaires et ingrédients divers;herbes;Menthe, fraîche;Mint, fresh;3,18;Menthe, fraîche (11027);0,20;0,00;0,30;0,14;0,02;0,03;0,69
20916;20916;aides culinaires et ingrédients divers;ingrédients divers;Miso;Miso;2,52;Miso (20916);0,60;0,15;0,11;0,17;0,02;0,00;1,05
11013;11013;aides culinaires et ingrédients divers;condiments;Moutarde;Mustard;2,47;Moutarde (11013);0,73;0,24;0,62;0,22;0,02;0,00;1,83
11021;11021;aides culinaires et ingrédients divers;condiments;Moutarde à l'ancienne;Mustard, with grains;2,21;Moutarde à l'ancienne (11021);0,90;0,28;0,72;0,23;0,02;0,00;2,14
11048;11048;aides culinaires et ingrédients divers;épices;Noix de muscade;Nutmeg;3,75;Noix de muscade (11048);0,36;0,00;0,48;0,34;0,02;0,00;1,20
20987;20987;aides culinaires et ingrédients divers;algues;Nori (Porphyra sp.), séchée ou déshydratée;Laver (Porphyra sp.), dried or dehydrated;2,99;Nori (Porphyra sp.), séchée ou déshydratée (20987);4,57;1,49;0,29;0,38;0,02;0,01;6,77
13147;13147;aides culinaires et ingrédients divers;condiments;Olives vertes, fourrées ou farcies (anchois, poivrons, etc.);Olive, green, stuffed (anchovy, sweet peppers, etc…);2,46;Olives vertes, fourrées ou farcies (anchois, poivrons, etc.) (13147);0,04;0,00;0,50;0,31;0,04;0,01;0,89
11035;11035;aides culinaires et ingrédients divers;herbes;Origan, séché;Oregano, dried;3,75;Origan, séché (11035);0,88;0,00;0,48;0,18;0,02;0,00;1,55
11049;11049;aides culinaires et ingrédients divers;épices;Paprika;Paprika;4,31;Paprika (11049);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11061;11061;aides culinaires et ingrédients divers;épices;Pavot, graine;Poppy, seed;3,75;Pavot, graine (11061);1,17;0,00;0,48;0,18;0,02;0,00;1,84
11014;11014;aides culinaires et ingrédients divers;herbes;Persil, frais;Parsley, fresh;2,99;Persil, frais (11014);0,60;0,00;0,30;0,14;0,02;0,03;1,09
11024;11024;aides culinaires et ingrédients divers;herbes;Persil, séché;Parsley, dried;2,99;Persil, séché (11024);2,68;0,00;0,48;0,18;0,02;0,00;3,35
25525;25525;aides culinaires et ingrédients divers;aides culinaires;Pizza, sauce garniture pour;Topping sauce for pizza;3,19;Pizza, sauce garniture pour (25525);0,23;0,17;0,11;0,19;0,02;0,00;0,72
11019;11019;aides culinaires et ingrédients divers;épices;Poivre blanc, poudre;White pepper, powder;4,31;Poivre blanc, poudre (11019);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11088;11088;aides culinaires et ingrédients divers;épices;Poivre de Cayenne ou piment de Cayenne;Cayenne pepper;4,31;Poivre de Cayenne ou piment de Cayenne (11088);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11015;11015;aides culinaires et ingrédients divers;épices;Poivre noir, poudre;Black pepper, powder;2,34;Poivre noir, poudre (11015);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11214;11214;aides culinaires et ingrédients divers;aides culinaires;"Préparation culinaire à base de soja, type ""crème de soja""";"Soy ""cream"" preparation";2,09;"Préparation culinaire à base de soja, type ""crème de soja"" (11214)";0,51;0,25;0,11;0,16;0,02;0,00;1,04
11056;11056;aides culinaires et ingrédients divers;épices;Quatre épices;Mix of 4 spices;2,79;Quatre épices (11056);4,76;0,26;0,48;0,34;0,02;0,00;5,85
11016;11016;aides culinaires et ingrédients divers;herbes;Raifort, cru;Horseradish, fresh;3,75;Raifort, cru (11016);0,08;0,00;0,33;0,16;0,02;0,08;0,68
11068;11068;aides culinaires et ingrédients divers;herbes;Romarin, frais;Rosemary, fresh;3,75;Romarin, frais (11068);0,22;0,00;0,33;0,16;0,02;0,08;0,82
11036;11036;aides culinaires et ingrédients divers;herbes;Romarin, séché;Rosemary, dried;3,75;Romarin, séché (11036);0,88;0,00;0,48;0,18;0,02;0,00;1,55
11039;11039;aides culinaires et ingrédients divers;épices;Safran;Saffron;3,75;Safran (11039);7,92;0,45;0,48;0,34;0,02;0,00;9,19
11062;11062;aides culinaires et ingrédients divers;herbes;Sarriette, séchée;Savory, dried;3,75;Sarriette, séchée (11062);0,88;0,00;0,48;0,18;0,02;0,00;1,55
11159;11159;aides culinaires et ingrédients divers;sauces;Sauce à la crème;Cream sauce;2,9;Sauce à la crème (11159);1,44;0,30;0,18;0,20;0,04;0,02;2,17
11161;11161;aides culinaires et ingrédients divers;sauces;Sauce à la crème aux épices;Cream sauce with spices;2,82;Sauce à la crème aux épices (11161);1,23;0,29;0,18;0,22;0,04;0,02;1,98
11162;11162;aides culinaires et ingrédients divers;sauces;Sauce à la crème aux herbes;Cream sauce with herbs;3,22;Sauce à la crème aux herbes (11162);1,23;0,29;0,18;0,22;0,04;0,02;1,98
11122;11122;aides culinaires et ingrédients divers;sauces;Sauce à l'échalote à la crème, préemballée;Cream sauce with shallots, prepacked;2,82;Sauce à l'échalote à la crème, préemballée (11122);1,24;0,28;0,18;0,21;0,04;0,02;1,95
11163;11163;aides culinaires et ingrédients divers;sauces;Sauce aigre douce, préemballée;Sweet and sour sauce, prepacked;2,78;Sauce aigre douce, préemballée (11163);0,29;0,21;0,25;0,25;0,04;0,02;1,06
11168;11168;aides culinaires et ingrédients divers;sauces;Sauce aïoli, préemballée;Aioli sauce (garlic and olive oil mayonnaise), prepacked;2,49;Sauce aïoli, préemballée (11168);0,66;0,22;0,18;0,33;0,04;0,01;1,43
11167;11167;aides culinaires et ingrédients divers;sauces;Sauce américaine, préemballée;American-style sauce, prepacked;2,11;Sauce américaine, préemballée (11167);2,26;0,87;0,18;0,21;0,04;0,01;3,57
11111;11111;aides culinaires et ingrédients divers;sauces;Sauce armoricaine, préemballée;Armorican-style sauce, prepacked;2,18;Sauce armoricaine, préemballée (11111);2,26;0,87;0,18;0,21;0,04;0,02;3,58
11140;11140;aides culinaires et ingrédients divers;sauces;Sauce au beurre blanc, préemballée;White butter sauce, prepacked;2,18;Sauce au beurre blanc, préemballée (11140);3,64;0,20;0,23;0,24;0,04;0,02;4,37
11158;11158;aides culinaires et ingrédients divers;sauces;Sauce au beurre, préemballée;Sauce, butter, prepacked;2,18;Sauce au beurre, préemballée (11158);3,64;0,20;0,23;0,24;0,04;0,02;4,37
11300;11300;aides culinaires et ingrédients divers;sauces;Sauce au chocolat;Chocolate sauce;2,16;Sauce au chocolat (11300);0,84;5,07;0,18;0,16;0,02;0,00;6,27
11132;11132;aides culinaires et ingrédients divers;sauces;Sauce au curry, préemballée;Curry sauce, prepacked;2,84;Sauce au curry, préemballée (11132);0,10;0,25;0,18;0,22;0,04;0,02;0,80
11189;11189;aides culinaires et ingrédients divers;sauces;Sauce au fromage pour risotto ou pâtes, préemballée;Cheese sauce for risotto or pasta, prepacked;1,76;Sauce au fromage pour risotto ou pâtes, préemballée (11189);3,11;0,34;0,18;0,22;0,04;0,02;3,91
11115;11115;aides culinaires et ingrédients divers;sauces;Sauce au poivre vert, préemballée;Green pepper sauce, prepacked;2,21;Sauce au poivre vert, préemballée (11115);0,43;0,26;0,18;0,20;0,04;0,02;1,13
11182;11182;aides culinaires et ingrédients divers;sauces;Sauce au poivre, chaude, préemballée;Sauce, pepper, prepacked;2,21;Sauce au poivre, chaude, préemballée (11182);0,86;0,37;0,18;0,21;0,04;0,02;1,68
11182;11212;aides culinaires et ingrédients divers;sauces;Sauce au poivre, condimentaire, froide, préemballée;Sauce, pepper, prepacked;2,14;Sauce au poivre, condimentaire, froide, préemballée (11212);0,86;0,37;0,18;0,21;0,04;0,02;1,68
11191;11191;aides culinaires et ingrédients divers;sauces;Sauce au roquefort, préemballée;Roquefort (blue cheese) sauce, prepacked;2,98;Sauce au roquefort, préemballée (11191);3,64;0,20;0,23;0,24;0,04;0,02;4,37
11164;11164;aides culinaires et ingrédients divers;sauces;Sauce au vin rouge;Red wine sauce;2,35;Sauce au vin rouge (11164);0,54;0,27;0,65;0,24;0,04;0,02;1,76
11166;11166;aides culinaires et ingrédients divers;sauces;Sauce au yaourt;Yogurt sauce;1,8;Sauce au yaourt (11166);0,82;0,19;0,18;0,24;0,04;0,01;1,47
11192;11192;aides culinaires et ingrédients divers;sauces;Sauce aux champignons et à la crème, préemballée;Cream sauce with mushrooms, prepacked;2,68;Sauce aux champignons et à la crème, préemballée (11192);3,43;0,22;0,18;0,23;0,04;0,02;4,11
11160;11160;aides culinaires et ingrédients divers;sauces;Sauce aux champignons, préemballée;Mushroom sauce, prepacked;2,21;Sauce aux champignons, préemballée (11160);3,16;0,21;0,18;0,23;0,04;0,02;3,83
11100;11100;aides culinaires et ingrédients divers;sauces;Sauce barbecue, préemballée;Barbecue sauce, prepacked;2,25;Sauce barbecue, préemballée (11100);0,49;0,21;0,26;0,26;0,04;0,01;1,27
11170;11170;aides culinaires et ingrédients divers;sauces;Sauce basquaise ou Sauce aux poivrons, préemballée;Basque-style sauce or tomato sauce with sweet peppers, prepacked;2,78;Sauce basquaise ou Sauce aux poivrons, préemballée (11170);0,39;0,18;0,18;0,28;0,04;0,02;1,09
11102;11102;aides culinaires et ingrédients divers;sauces;Sauce béarnaise, préemballée;Bearnaise sauce, prepacked;2,18;Sauce béarnaise, préemballée (11102);4,26;0,21;0,28;0,25;0,04;0,02;5,06
11143;11143;aides culinaires et ingrédients divers;sauces;Sauce béchamel, maison;Bechamel sauce, home-made;1,87;Sauce béchamel, maison (11143);1,44;0,17;0,18;0,22;0,04;0,02;2,06
11101;11101;aides culinaires et ingrédients divers;sauces;Sauce béchamel, préemballée;Bechamel sauce, prepacked;1,87;Sauce béchamel, préemballée (11101);1,44;0,17;0,18;0,22;0,04;0,02;2,06
11120;11120;aides culinaires et ingrédients divers;sauces;Sauce bourguignonne, préemballée;Burgundy-style sauce, prepacked;2,11;Sauce bourguignonne, préemballée (11120);1,64;0,25;0,61;0,25;0,04;0,01;2,79
11196;11196;aides culinaires et ingrédients divers;sauces;Sauce burger, préemballée;Burger sauce, prepacked;3,35;Sauce burger, préemballée (11196);1,97;0,39;0,24;0,37;0,04;0,01;3,01
11128;11128;aides culinaires et ingrédients divers;sauces;Sauce carbonara, préemballée;Carbonara sauce (cream sauce with lardoons), prepacked;1,92;Sauce carbonara, préemballée (11128);4,08;0,41;0,18;0,21;0,04;0,02;4,93
11129;11129;aides culinaires et ingrédients divers;sauces;Sauce chasseur, préemballée;Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked;2,21;Sauce chasseur, préemballée (11129);1,59;0,17;0,18;0,22;0,04;0,02;2,22
11198;11198;aides culinaires et ingrédients divers;sauces;Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée;Salad dressing, reduced fat, prepacked;3,35;Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée (11198);1,97;0,39;0,24;0,37;0,04;0,01;3,01
11187;11187;aides culinaires et ingrédients divers;sauces;Sauce crudités ou Sauce salade, préemballée;Salad dressing, prepacked;3,35;Sauce crudités ou Sauce salade, préemballée (11187);1,97;0,39;0,24;0,37;0,04;0,01;3,01
11199;11199;aides culinaires et ingrédients divers;sauces;Sauce grand veneur, préemballée;Grand veneur sauce (a reduction of red wine with garlic, shallots and red currant jelly), prepacked;2,58;Sauce grand veneur, préemballée (11199);1,64;0,25;0,61;0,25;0,04;0,02;2,80
11105;11105;aides culinaires et ingrédients divers;sauces;Sauce hollandaise, préemballée;Hollandaise sauce, prepacked;2,26;Sauce hollandaise, préemballée (11105);5,46;0,21;0,18;0,25;0,04;0,02;6,15
11202;11202;aides culinaires et ingrédients divers;sauces;Sauce indienne type tandoori ou tikka masala, préemballée;Indian-style sauce, tandoori or garam masala type, prepacked;2,75;Sauce indienne type tandoori ou tikka masala, préemballée (11202);0,60;0,21;0,18;0,26;0,04;0,02;1,30
11203;11203;aides culinaires et ingrédients divers;sauces;Sauce kebab, préemballée;Kebab sauce, prepacked;2,72;Sauce kebab, préemballée (11203);1,16;0,28;0,18;0,23;0,04;0,01;1,90
11121;11121;aides culinaires et ingrédients divers;sauces;Sauce madère, préemballée;Madeira wine sauce, prepacked;1,96;Sauce madère, préemballée (11121);4,40;0,19;0,18;0,22;0,04;0,02;5,04
11157;11157;aides culinaires et ingrédients divers;sauces;Sauce moutarde, préemballée;Mustard sauce prepacked;2,64;Sauce moutarde, préemballée (11157);1,22;0,29;0,19;0,21;0,04;0,01;1,95
11194;11194;aides culinaires et ingrédients divers;sauces;Sauce Nuoc Mâm ou Sauce au poisson, préemballée;Nuoc mam sauce or fish sauce, prepacked;2;Sauce Nuoc Mâm ou Sauce au poisson, préemballée (11194);0,09;0,20;0,29;0,21;0,04;0,01;0,84
11210;11210;aides culinaires et ingrédients divers;sauces;Sauce pesto rosso, préemballée;Sauce, pesto rosso, prepacked;3,09;Sauce pesto rosso, préemballée (11210);1,78;0,30;0,18;0,27;0,04;0,02;2,58
11179;11179;aides culinaires et ingrédients divers;sauces;Sauce pesto, préemballée;Sauce, pesto, prepacked;3,09;Sauce pesto, préemballée (11179);1,78;0,30;0,18;0,27;0,04;0,02;2,58
11205;11205;aides culinaires et ingrédients divers;sauces;Sauce rouille, préemballée;Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked;2,92;Sauce rouille, préemballée (11205);1,79;0,36;0,22;0,26;0,02;0,00;2,64
11104;11104;aides culinaires et ingrédients divers;sauces;Sauce soja, préemballée;Soy sauce, prepacked;2,49;Sauce soja, préemballée (11104);0,15;0,16;0,18;0,22;0,04;0,01;0,74
11051;11051;aides culinaires et ingrédients divers;sauces;Sauce tartare, préemballée;Tartare sauce, prepacked;2,58;Sauce tartare, préemballée (11051);0,86;0,37;0,18;0,21;0,04;0,01;1,67
11114;11114;aides culinaires et ingrédients divers;sauces;Sauce tomate à la viande ou Sauce bolognaise, préemballée;Tomato sauce, with meat or Bolognese sauce, prepacked;1,98;Sauce tomate à la viande ou Sauce bolognaise, préemballée (11114);11,50;0,25;0,18;0,25;0,04;0,02;12,20
11208;11208;aides culinaires et ingrédients divers;sauces;Sauce tomate au fromage, préemballée;Tomato sauce, w cheese, prepacked;2,93;Sauce tomate au fromage, préemballée (11208);0,54;0,19;0,18;0,27;0,04;0,02;1,24
11177;11177;aides culinaires et ingrédients divers;sauces;Sauce tomate aux champignons, préemballée;Tomato sauce, w mushrooms, prepacked;2,93;Sauce tomate aux champignons, préemballée (11177);0,54;0,17;0,18;0,27;0,04;0,02;1,22
11107;11107;aides culinaires et ingrédients divers;sauces;Sauce tomate aux oignons, préemballée;Tomato sauce, with onions, prepacked;2,78;Sauce tomate aux oignons, préemballée (11107);0,23;0,17;0,18;0,27;0,04;0,02;0,91
11178;11178;aides culinaires et ingrédients divers;sauces;Sauce tomate aux olives, préemballée;Tomato sauce, w olives, prepacked;2,93;Sauce tomate aux olives, préemballée (11178);0,23;0,17;0,18;0,27;0,04;0,02;0,90
11207;11207;aides culinaires et ingrédients divers;sauces;Sauce tomate aux petits légumes, préemballée;Tomato sauce, w vegetables, prepacked;2,78;Sauce tomate aux petits légumes, préemballée (11207);0,26;0,17;0,18;0,28;0,04;0,02;0,94
11219;11219;aides culinaires et ingrédients divers;sauces;Sauce végétale type bolognaise, préemballée;Vegetable Bolognese sauce;2,25;Sauce végétale type bolognaise, préemballée (11219);0,18;0,44;0,53;0,18;0,02;0,00;1,35
11110;11110;aides culinaires et ingrédients divers;sauces;Sauce vinaigrette (50 à 75% d'huile), préemballée;Salad dressing, (50-75% of oil), prepacked;2,49;Sauce vinaigrette (50 à 75% d'huile), préemballée (11110);1,53;0,39;0,35;0,35;0,04;0,01;2,68
11069;11069;aides culinaires et ingrédients divers;herbes;Sauge, fraîche;Sage, fresh;3,75;Sauge, fraîche (11069);0,22;0,00;0,33;0,16;0,02;0,08;0,82
